Команды для бота:,Ответы:
"Пиши "" хранитель ""
Узнай своего Демона - Покровителя.","Дагдарион. Это демон равнодушия и презрения, который отличается особенным спокойствием и терпением. Вам он дарует : крепкую выдержку и силу воли, безэмоциональность, умение копить, способность успешно вести собственный бизнес. Минусы покровительства Дагдариона - полностью поддавшись влиянию этого демона, можно стать черствым манипулятором или диктатором вовсе, который способен нажить себе только врагов. Чтобы избежать подобной участи, стоит развивать в себе эмпатию. Как вариант : можно заняться благотворительностью."
,"Адимирон. Это демонические существа, полуящеры, полульвы, хамелеоны и химеры. Очень волевые и непреклонные по характеру, их невозможно сломить. Этими же качествами Адимироны наделяют своих подопечных. Они дают силу воли, выдержку и целеустремленность. Львиная часть дает физическую силу, а рептилия - холодность и рациональность : они концентрируются на том, что полезно для дела, не уделяя внимание мелочам. Дают сильнейший инстинкт выживания. Негативная сторона - человек под влиянием такой демонической сущности может стать упрямым и абсолютно неконтактным, в результате потерять все связи с друзьями и близкими."
,"Обирирон. Он во всем любит порядок, властвует над временем : как замедляет, так и ускоряет его. Вам дарует : спокойствие и непоколебимость в любой ситуации, талант давать объективную оценку событиям в жизни, трудоголизм и выносливость. Минусы покровительства Обирирона - под его влиянием Вы медлительны и апатичны, часто уходите в себя, откуда выходите крайне редко. Чтобы избежать этого, стоит бороться с ленью и научиться принимать решения раньше поставленных сроков."
,"Целладимирон. Эти сущности выглядят как собаки с треугольными головами, адские псы или церберы. Это очень активные, беспокойные духи, которые могут дать много информации по любому вопросу, помогают увидеть любую ситуацию с разных сторон. Эти демоны дают способность договариваться, так, чтобы все остались довольны. Помогают человеку приспособиться к любому обществу. Негативное влияние этого демона может привести к тому, что человек кидается из крайности в крайность и никак не может найти себя. Присобавливаясь к другим то и дело, он может потерять собственный облик. Чтобы совладать с силой этих сущностей, нужно заниматься самопознанием, но не самокопанием."
,"Шехирирон. Это великолепный иллюзионист. Ему подвластно воплотить в жизнь любую мысль и фантазию. Вам он дарует : способность легко материализовать задуманное, сильную интуицию и предвидение, умение анализировать, молчать и слушать, делая нужные выводы. Минусы покровительства Шехирирона : способность этого демона материализовывать любые мысли и фантазии может сыграть злую шутку с человеком, ведь Темный наставник охотно воплотит в жизнь и негатив. Поэтому, если Вы не хотите проблем, работайте над самоконтролем, и старайтесь мыслить всегда позитивно."
,"Нехешитирон. Эти ужасные демоны выглядят, как дьявольские насекомые с человеческими головами. Это агрессивные и сильные создания, при этом совершенно безрассудные : действуя вместе, они сметают все на своем пути. Это - демоны разрушения, они умеют только это. Если человек идет не по своему пути, то они начинают активно разрушать его жизнь. Они могут сделать человека маньяком или психопатом, но могут также и помочь достичь внутренней трансформации, очень болезненным способом - через полное разрушение старой личности. Им не свойственна жалость, они повинуются лишь инстинкту. Чтобы совладать с силой, необходимо научиться слушать свое сердце."
,"Шелхабирон. Духи появляются как волки - оборотни, шакалы, помесь льва. По характеру они злобны и безжалостны. Их основные качества - агрессия и доминирование. Человеку они могут придать сил для особо сложных дел за пределами его возможностей. Например - сокрушить сильного врага. Вторая сторона демона - это реализация творческого потенциала. Они посылают человеку целый поток идей для творчества, которые он должен использовать. Сила, ярость и творческий огонь этих духов помогают подопечным ярче проявляться в этом мире, но они же могут сделать человека жестоким и бессердечным."
,"Байрирон. Это драконо - лев, он также может принимать форму джинна. Это активный, бесстрашный и жестокий демон. Он связан с темной материей. Помогает поднять подопечному боевой дух и дает стремление к завоеваниям, однако может сделать человека излишне агрессивным в общении. Демон стремится к абсолютной власти и может свести человека с ума, сделав одержимым манией величия. Он помогает обрести лидерские качества, свободу и непреклонность. Однако на слабого человека силы Байрирона действуют разрушительно. Чтобы совладать с этими силами, нужно развивать в себе самоконтроль с помощью йоги и медитации."
,"Вам покровительствует страстный Байрирон. Он наделяет Вас боевым духом, который толкает двигаться вперед, несмотря ни на что. Под его покровительством воспитываются только настоящие лидеры. Он дарит непреклонность и проницательность. Минусы его покровительства - Вы можете полностью поддаться страсти и агрессии, что начнет мешать Вам принимать правильные решения, из - за чего Вы можете терпеть неудачи. Чтобы Вас не засосало в это болото, стоит заниматься спортом и медитациями."
,"Шехирирон. Эти духи проявляются как демонические рептилии, насекомые, ракообразные. Могут при этом иметь человеческое лицо. Связаны со сферой сновидений. Эти демоны находятся под властью Лилит, выполняя ее прихоти. Человеку они помогают воплотить самые смелые фантазии в жизнь, но также дают и пустые хлопоты, навязчивые мысли, страхи и фобии. Если поссориться с этими демонами, можно приобрести бессоницу. Они питаются энергией человека, который наполовину спит, а наполовину бодрствует. Такое состояние называется "" просоночным "", оно очень полезно для визуализации своих желаний. Именно этот демон дает желаниям силу для воплощения."
